Cities: Skylines,250.000,4.0,nVIDIA GeForce GTX 260, 512 MB or ATI Radeon HD 5670, 512 MB (Does not support Intel Integrated Graphics Cards),4.0,City Builder Simulation Building Strategy Singleplayer Management Moddable Sandbox Economy Resource Management Realistic Replay Value Mod Casual Family Friendly Modern Real-Time with Pause Great Soundtrack Funny Action,10 Mar, 2015,51136,91
Pathfinder: Kingmaker,310.000,4.0,Intel HD Graphics 3000,30.0,RPG Fantasy Singleplayer CRPG Story Rich Isometric Sexual Content Character Customization Choices Matter Adventure Gore Real-Time with Pause Party-Based RPG Strategy Female Protagonist Medieval Nudity,25 Sep, 2018,,0
Don't Starve Together,165.000,1.0,Radeon HD5450 or better; 256 MB or higher,0.732421875,Survival Multiplayer Co-op Open World Adventure Crafting Sandbox Indie Difficult Online Co-Op 2D Atmospheric Strategy Survival Horror Funny Action Simulation Singleplayer Horror Rogue-like,21 Apr, 2016,63506,96
Sid Meier’s Civilization® VI,999.000,4.0,1 GB & AMD 5570 or nVidia 450,12.0,Strategy Turn-Based Strategy Historical Multiplayer Singleplayer Turn-Based Grand Strategy 4X War Simulation Tactical Great Soundtrack Moddable Online Co-Op Co-op City Builder Hex Grid Building Management Atmospheric,20 Oct, 2016,,0
Euro Truck Simulator 2 - Beyond the Baltic Sea,180.000,4.0,GeForce GTS 450-class (Intel HD 4000),0,Simulation Indie Driving Open World Realistic Singleplayer Multiplayer Exploration Atmospheric Free to Play,29 Nov, 2018,633,96
7 Days to Die,220.000,6.0,,4.0,Early Access Survival Zombies Open World Crafting Multiplayer Sandbox Building Co-op Action Adventure Survival Horror Horror Online Co-Op FPS Early Access RPG Singleplayer Indie Gore,13 Dec, 2013,51211,79
RIDE 3,390.000,8.0,NVIDIA GeForce GTX 1050 with 2 GB VRAM or more / AMD Radeon HD 7950 with 2 GB VRAM or more,23.0,Racing Sports Simulation Competitive Atmospheric,30 Nov, 2018,128,80
World of Tanks Blitz,0,2.0,DirectX 9.0c compliant video card with 256 MB RAM,3.0,Tanks Free to Play Action Multiplayer World War II War Massively Multiplayer Strategy Shooter PvP Simulation Military Competitive Online Co-Op Arcade FPS Open World Singleplayer First-Person Psychological Horror,9 Nov, 2016,17480,70
Brawlhalla,0,1.0,,0.341796875,Free to Play Multiplayer Fighting 2D 2D Fighter Action Local Multiplayer Platformer Controller Co-op Local Co-Op Beat 'em up Online Co-Op Early Access 4 Player Local Indie Massively Multiplayer Singleplayer Survival Adventure,17 Oct, 2017,80846,84
No Man's Sky,480.000,8.0,nVidia GTX 480, AMD Radeon 7870,10.0,Open World Space Exploration Sci-fi First-Person Procedural Generation Adventure Survival Singleplayer Sandbox Atmospheric Crafting Space Sim Indie Action Multiplayer Simulation FPS Great Soundtrack Massively Multiplayer,12 Aug, 2016,,0
Subsistence,160.000,2.0,Geforce GT 460 or Radeon HD 3800,1.46484375,Early Access Survival Crafting Open World Multiplayer Building Sandbox Base Building Early Access Action Singleplayer First-Person Co-op Adventure FPS Difficult Shooter Nudity Online Co-Op Indie,25 Oct, 2016,3245,71
Russian Fishing 4,0,4.0,GTX 500 series,20.0,Early Access Free to Play Multiplayer Fishing Simulation Massively Multiplayer Sports Open World RPG First-Person Singleplayer Adventure Realistic Casual Early Access Atmospheric Family Friendly Survival Psychological Horror Nudity,15 Jun, 2018,,0
X-Plane 11,480.000,8.0,DirectX 11-capable video card from NVIDIA or AMD w/512 MB VRAM,20.0,Simulation Flight Realistic Open World Multiplayer VR Singleplayer Sandbox Physics First-Person Atmospheric Adventure Free to Play Action,30 Mar, 2017,1975,82
Undertale,120.000,2.0,128MB,0.1953125,Great Soundtrack Story Rich Choices Matter Funny Multiple Endings RPG Pixel Graphics Singleplayer Indie Comedy 2D Replay Value Cute Bullet Hell Memes Retro Dark Psychological Horror Dating Sim Horror,15 Sep, 2015,84306,95
Fallout 4,480.000,8.0,NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB or equivalent,30.0,Open World Post-apocalyptic Exploration Singleplayer RPG Atmospheric Adventure Shooter First-Person Story Rich Action Sci-fi FPS Action RPG Great Soundtrack Sandbox Third Person Third-Person Shooter Survival Casual,9 Nov, 2015,87327,70
Total War Saga: THRONES OF BRITANNIA,610.000,8.0,15" Macbook Pros released since Mid 2012 with a 1GB Graphics Card,15.0,Strategy Historical RTS Action Turn-Based Strategy Singleplayer Medieval Multiplayer War Grand Strategy Co-op Tactical Atmospheric,2 May, 2018,,0
Old Man's Journey,100.000,1.0,DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities,2.0,Indie Adventure Casual Story Rich Great Soundtrack Atmospheric 2D Puzzle Hand-drawn Colorful Stylized Point & Click Drama Family Friendly,17 May, 2017,713,90
Save 50% on Rise to Ruins,60.000,4.0,Intel HD 4400 or equivalent, 1280x720 resolution or higher.,1.0,Early Access Strategy Simulation City Builder Pixel Graphics Survival Indie God Game Base Building Early Access Singleplayer Rogue-like Sandbox Tower Defense Retro 2D Level Editor Great Soundtrack Resource Management Soundtrack,27 Oct, 2014,2063,91
